,furnitured,residential site,heating_system,number_floors,Title,number_rooms,net_area,price,ad_date,district,number_bathroom,county,id,Deposit,building_age,floor_wthn_bldng,total_area
2535,-,Hayır,Kombi Doğalgaz,4,Antalya konyaaltı uncalı mah kiralık 3+1 daire,3+1,160m,2900.0,2019-02-01 00:00:00,Uncalı Mahallesi',1,Konyaaltı,6971535,2900 TRY,5-10,3. Kat,170m
2536,-,Hayır,Klimalı,4,Kültür mahallesinin ortasında full eşyalı kiralık daire akdeniz,1+1,50m,975.0,2019-02-01 00:00:00,Kültür Mahallesi',1,Kepez,6950911,-,0 (Yeni),Yüksek giriş,55m
2537,-,Evet,Klimalı,4,5m migrosa yürüme mesafesinde kiralık daire,3+1,130m,1450.0,2019-02-01 00:00:00,Pınarbaşı Mahallesi',1,Konyaaltı,6971789,-,11-20,1. Kat,140m
2538,-,Hayır,Klimalı,4,Kültür ulusoy caddesinde asansörlü kiralık 2+0 sıfır eşyalı dair,1+1,55m,1000.0,2019-02-01 00:00:00,Kültür Mahallesi',1,Kepez,6950854,-,0 (Yeni),2. Kat,65m
2539,-,Hayır,Klimalı,4,Konyaaltı gürsu merkezi denize yakın full eşyalı 2+1,2+1,110m,1750.0,2019-02-01 00:00:00,Gürsu Mahallesi',1,Konyaaltı,6950401,1750 TRY,5-10,1. Kat,120m
2540,-,Hayır,Klimalı,4,Memur evlerinde kiralık lüks daire,3+1,120m,800.0,2019-02-01 00:00:00,Memurevleri Mahallesi',1,Muratpaşa,6951733,800 TRY,11-20,3. Kat,145m
2541,Evet,,Klima,4.0,YILDIZ MH.DE EKSİKSİZ EŞYALI GÜNEY CEPHE KİRALIK DAİRE,1 + 0,20 m²,550.0,2019-02-01 00:00:00,Yıldız,1.0,Muratpaşa,733891617,550 TL,20.0,Giriş Katı,20 m²
2542,Hayır,,Klima,5.0,"Muratpaşa Güvenlik Full Eşyalı,Balkon Yüksek Giriş K 2+1 Daire",2 + 1,110 m²,1000.0,2019-02-02 00:00:00,Güvenlik,1.0,Muratpaşa,60116662,1.000 TL,22.0,Yüksek Giriş,120 m²
2543,Evet,,Klima,3.0,FENER DE EŞYALI 2+1 KİRALIK DAİRE,2 + 1,85 m²,2000.0,2019-02-02 00:00:00,Fener,1.0,Muratpaşa,241263418,6.000 TL,7.0,Bahçe Katı,100 m²
2544,Hayır,,Klima,4.0,ALANYA ALANYUM AVM CİVARINDA 3+1 KİRALIK DUBLEX DAİRE,3 + 1,175 m²,1500.0,2019-02-02 00:00:00,Cumhuriyet,2.0,Alanya,98706218,1.500 TL,10.0,4,180 m²
2545,Hayır,,Klima,6.0,VARLIK MAHALLESİNDE POLİS EVİ ARKASINDA KİRALIK EŞYALI DAİRE,2 + 1,100 m²,700.0,2019-02-02 00:00:00,Varlık,1.0,Muratpaşa,305901155,700 TL,30.0,Çatı Katı,110 m²
2546,-,Hayır,-,2,Emlak beydagından kıralık eşyalı 1+1 daire aslanbucakta,-,50m,1600.0,2019-02-02 00:00:00,Arslanbucak Mahallesi',-,Kemer,6758622,1600 TRY,-,-,60m
2547,-,Hayır,-,2,Emlak beydagından gunluk kıralık 3+1 mustakıl bahcelı ev,-,160m,2000.0,2019-02-02 00:00:00,Çamyuva Mahallesi',-,Kemer,6731663,2000 TRY,-,-,160m
2548,Hayır,,Klima,3.0,KONYAALTI ALTINKUMDA SLAYF OTEL KARŞISI 2+1 AYRI MUTFAKLI DAİRE,2 + 1,90 m²,1300.0,2019-02-02 00:00:00,Altınkum,1.0,Konyaaltı,455021486,,15.0,1,100 m²
2549,Hayır,Evet (Site Adı Belirtilmemiş),Klima,6.0,ANTALYA KEPEZ HAVUZLU SİTE İÇİ KİRALIK DAİRE ,2 + 1,110 m²,750.0,2019-02-02 00:00:00,Hüsnü Karakaş,1.0,Kepez,92837767,750 TL,0.0,3,125 m²
2550,Hayır,Evet (Site Adı Belirtilmemiş),Klima,2.0,KAHYAOĞLU'NDAN GÜZELOBADA SİTEDE SIFIR 2+1 LÜKS DAİRE,2 + 1,90 m²,2500.0,2019-02-02 00:00:00,Güzeloba,2.0,Muratpaşa,53141601,,0.0,1,100 m²
2551,-,Hayır,Sobalı,3,Huzur emlaktan sarılarda sıfır 2+1 bahce katı,2+1,80m,500.0,2019-02-02 00:00:00,Sarılar Mahallesi',1,Manavgat,6752521,-,0 (Yeni),Bahçe katı,80m
2552,Hayır,,Güneş Enerjisi,3.0,Torosta Açık Mutfaklı 2+1 Ters Dubleks,2 + 1,80 m²,1000.0,2019-02-02 00:00:00,Toros,1.0,Konyaaltı,73055643,1.000 TL,15.0,Giriş Katı,100 m²
2553,Evet,Evet (Site Adı Belirtilmemiş),Klima,7.0,ALANYA AVSALLAR DA FULL DENİZ MANZARALI 2+1 KİRALIK DAİRE,2 + 1,95 m²,1800.0,2019-02-02 00:00:00,Avsallar,1.0,Alanya,55900958,2.000 TL,6.0,3,110 m²
2554,Hayır,,Klima,4.0,KIZILARIKTA ANA CADDE YAKINI SERVİS ULAŞIM İMKANI,2 + 1,90 m²,1000.0,2019-02-02 00:00:00,Kızılarık,1.0,Muratpaşa,775273115,,2.0,1,100 m²
2555,Hayır,,Klima,7.0,KİRALIK 2+1 DAİRE,2 + 1,85 m²,750.0,2019-02-02 00:00:00,Tahılpazarı,1.0,Muratpaşa,106551820,750 TL,10.0,1,90 m²
2556,Hayır,,Klima,4.0,"ŞİİRİNYALI'DA TEMİZ 3+1, GİRİŞ KATTA",3 + 1,105 m²,1650.0,2019-02-02 00:00:00,Şirinyalı,1.0,Muratpaşa,360644297,2.200 TL,11.0,Giriş Katı,115 m²
2557,-,Hayır,-,3,Burak emlaktan kiralık eşyali daire,-,85m,1000.0,2019-02-02 00:00:00,Side Mahallesi',-,Manavgat,6508301,-,-,-,85m
2558,-,Hayır,-,3,Side merkezde havuzlu esyali kiralik 2+1 cati kati,-,80m,1250.0,2019-02-02 00:00:00,Side Mahallesi',-,Manavgat,6431233,-,-,-,80m
2559,-,Hayır,Klimalı,3,Antalya konyaaltı uluç mah kiralık 1 +1 eşylalı daire,1+1,70m,1300.0,2019-02-02 00:00:00,Uluç Mahallesi',1,Konyaaltı,6715357,1300 TRY,5-10,1. Kat,70m
2560,Evet,,Klima,4.0,ALYANS TAN LİMAN DA DENİZE YÜRÜME MESAFESİ 1+1 EŞYALI DAİRE,1 + 1,65 m²,1400.0,2019-02-02 00:00:00,Liman,1.0,Konyaaltı,10933337,,4.0,Giriş Katı,70 m²
2561,-,Hayır,Klimalı,3,Huzur emlaktan sıde kemerde elek su dahıl odalar,1,35m,500.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6238721,-,5-10,3. Kat,35m
2562,-,Hayır,Klimalı,3,Huzur emlaktan sıde kemerde ranzalı 2 kısılık elek su dahıl oda,1,35m,500.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6238727,-,5-10,3. Kat,35m
2563,-,Hayır,Sobalı,2,Huzur emlaktan sorgunda 2+1 her odası klımalı kıralık daıre,2+1,100m,650.0,2019-02-02 00:00:00,Sorgun Mahallesi',1,Manavgat,6238713,-,20 ve üzeri,2. Kat,100m
2564,Hayır,Evet (Site Adı Belirtilmemiş),Klima,4.0,ALYANS TAN LİMAN MAH. HAVUZLU KATTA 1+1 LÜXS EŞYALI DAİRE,1 + 1,65 m²,1250.0,2019-02-02 00:00:00,Hurma,1.0,Konyaaltı,10933335,,4.0,2,70 m²
2565,Evet,Evet (Site Adı Belirtilmemiş),Klima,4.0, ALYANS TAN LİMAN DA KATTA 2+1 HAVUZLU EŞYALI 1.350.....,2 + 1,80 m²,1350.0,2019-02-02 00:00:00,Liman,1.0,Konyaaltı,10933332,,5.0,3,85 m²
2566,-,Hayır,Klimalı,4,Antalya manavgat side de kiralık  dubleks daire,3+1,135m,1500.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6741937,-,5-10,2. Kat,135m
2567,-,Hayır,Klimalı,10,Alanya mahmutlarda deniz manzaralı kiralık 2+1 daire,2+1,120m,900.0,2019-02-02 00:00:00,Mahmutlar Mahallesi',2,Alanya,6961687,-,4,4. Kat,130m
2568,Hayır,Evet (Site Adı Belirtilmemiş),Klima,11.0,"MEYDANKAVAĞI, EKŞİOĞLU SİTESİNDE KİRALIK DAİRE ",3 + 1,160 m²,2250.0,2019-02-02 00:00:00,Meydankavağı,1.0,Muratpaşa,81838903,2.000 TL,12.0,9,180 m²
2569,Evet,,Klima,2.0,KONYAALTI ALTINKUM'DA KİRALIK MÖBLELİ 2+1 DAİRE ,2 + 1,90 m²,1500.0,2019-02-02 00:00:00,Altınkum,1.0,Konyaaltı,389552256,1.500 TL,7.0,1,100 m²
2570,-,Hayır,-,3,Belekte lüks kiralık havuzlu villa,-,220m,21000.0,2019-02-02 00:00:00,Belek Mahallesi',-,Serik,6744262,-,-,-,220m
2571,Eşyalı,Hayır,Klimalı,12,Alanya da mahmutlar da rezidans da eşyalı kiralık 1+1 daire,1+1,60m,1200.0,2019-02-02 00:00:00,Mahmutlar Mahallesi',2,Alanya,6849190,-,3,2. Kat,70m
2572,Hayır,,Belirtilmemiş,6.0,ANTALYA KUMLUCA MEYDAN MAHALLESİ DENİZBANK ÜSTÜ KİRALIK DAİRE ,2 + 1,140 m²,950.0,2019-02-02 00:00:00,Meydan,1.0,Kumluca,93358105,,10.0,1,140 m²
2573,Hayır,,Klima,7.0,ALANYA AVSALLAR DA RESİDENCE SİTE 2+1 KİRALIK DAİRE,2 + 1,95 m²,1400.0,2019-02-02 00:00:00,Avsallar,1.0,Alanya,55900957,1.400 TL,5.0,4,110 m²
2574,Evet,,Yok,4.0,SOĞUKSU'DA KİRALIK 3+1 EŞYALI DAİRE,3 + 1,125 m²,1150.0,2019-02-02 00:00:00,Soğuksu,1.0,Muratpaşa,67613438,1.150 TL,20.0,3,130 m²
2575,Hayır,,Belirtilmemiş,6.0,ANTALYA KUMLUCA MERKEZ MAHALLESİNDE 3+1 KİRALIK DAİRE,3 + 1,130 m²,800.0,2019-02-02 00:00:00,Merkez,1.0,Kumluca,9335897,,2.0,6,130 m²
2576,Hayır,,Klima,9.0,KONYAALTI KUŞKAVAĞINDA DENİZE 100METRE 2+1 115m2 KİRALIK DAİRE,2 + 1,115 m²,1700.0,2019-02-02 00:00:00,Kuşkavağı,1.0,Konyaaltı,393261570,,15.0,1,120 m²
2577,Hayır,,Belirtilmemiş,2.0,GÜZELOBA MAHALLESİ 2+1 EŞYALI BAHÇE KATI KİRALIK DAİRE,2 + 1,Belirtilmemiş ,3500.0,2019-02-02 00:00:00,Güzeloba,1.0,Muratpaşa,179698366,,1.0,Bahçe Katı,85 m²
2578,Hayır,,Yok,4.0,SEDİR MAHALLESİ KİRALIK DAİRE ARA KAT,3 + 1,110 m²,700.0,2019-02-02 00:00:00,Sedir,1.0,Muratpaşa,6392211,,25.0,3,120 m²
2579,Evet,,Klima,7.0,KUŞKAVAĞI MAHALLESİNDE DENİZ MANZARALI 2+1 LÜX MOBİLYALI DAİRE,2 + 1,105 m²,2500.0,2019-02-02 00:00:00,Kuşkavağı,1.0,Konyaaltı,393261512,,9.0,3,110 m²
2580,Hayır,,Yok,8.0,GÜVENLİK MH. KİRALIK ASANSÖRLÜ 3+1 DAİRE,3 + 1,125 m²,1000.0,2019-02-02 00:00:00,Güvenlik,1.0,Muratpaşa,67613447,900 TL,20.0,4,130 m²
2581,-,Hayır,Sobalı,2,Huzur emlaktan sarılarda kiralık bahçe kati daire,2+1,100m,400.0,2019-02-02 00:00:00,Sarılar Mahallesi',1,Manavgat,6328492,-,11-20,1. Kat,100m
2582,-,Hayır,-,3,Burak emlak tan kiralık daire site içerisinde havuzu,-,80m,1400.0,2019-02-02 00:00:00,Side Mahallesi',-,Manavgat,6005924,-,-,-,80m
2583,Evet,,Klima,2.0,EŞYALI KİRALIK DAİRE,1 + 1,70 m²,900.0,2019-02-02 00:00:00,Fabrikalar,1.0,Kepez,106551816,,15.0,Zemin,75 m²
2584,Evet,Evet (Site Adı Belirtilmemiş),Kombi,5.0,ANTALYA HURMA DA KİRALIK EŞYALI DAİRE YÜZME HAVUZLU GÜVENLİKLİ ,2 + 1,110 m²,1500.0,2019-02-02 00:00:00,Hurma,2.0,Konyaaltı,105962877,1.500 TL,5.0,2,115 m²
2585,Hayır,,Klima,7.0,ÖĞRETMENLER EMLAK'TAN KİRALIK DUBLEKS DAİRE,4 + 2,220 m²,2250.0,2019-02-02 00:00:00,Tahılpazarı,2.0,Muratpaşa,106551607,,17.0,7,250 m²
2586,-,Hayır,Klimalı,3,Turizm cenneti antalya belek te 3+1 kiralık eşyalı daire,3+1,120m,1600.0,2019-02-02 00:00:00,Belek Mahallesi',2,Serik,6755062,-,11-20,2. Kat,130m
2587,-,Hayır,Klimalı,3,Prestij den antalya gülveren de kiralık 1+1 eşyalı daire,1+1,45m,900.0,2019-02-02 00:00:00,Gülveren Mahallesi',1,Kepez,6545413,-,4,3. Kat,45m
2588,-,Hayır,-,3,Burak emlak tan kiralık eşyalı daire,-,90m,1000.0,2019-02-02 00:00:00,Side Mahallesi',-,Manavgat,6273962,-,-,-,90m
2589,-,Hayır,-,3,Müstakil havuzlu ultra lüks full mobilyalı 3+1 kadriye de villa,-,220m,24500.0,2019-02-02 00:00:00,Kadriye Mahallesi',-,Serik,6555676,3000 EUR,-,-,220m
2590,-,Hayır,Sobalı,3,Huzur emlaktan şelale yolu üzerinde 2+1 kiralık daire,2+1,100m,450.0,2019-02-02 00:00:00,Çayyazı Mahallesi',1,Manavgat,6432988,-,11-20,2. Kat,100m
2591,-,Hayır,Sobalı,3,Huzur emlaktan cayyazı selale yolu uzerınde 2+1 kıralık arakat,2+1,100m,450.0,2019-02-02 00:00:00,Çayyazı Mahallesi',1,Manavgat,6283741,-,11-20,3. Kat,100m
2592,-,Hayır,Klimalı,5,Deniz manz  obagölde site içi kiralık lüks 200 m2 dubleks 3+1,3+1,200m,3123.0,2019-02-02 00:00:00,Oba Mahallesi',2,Alanya,6291381,-,5-10,4. Kat,200m
2593,-,Hayır,Isıtma yok,3,Huzur emlak side kemerde eleksu net dahil 600 oda,1,40m,600.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6488504,-,11-20,2. Kat,40m
2594,-,Hayır,Klimalı,3,Turizm cenneti antalya belek te 2+1 kiralık eşyalı daire,2+1,85m,1350.0,2019-02-02 00:00:00,Belek Mahallesi',2,Serik,6755109,1350 TRY,5-10,3. Kat,90m
2595,-,Hayır,Isıtma yok,3,Huzur emlaktan aylık 600 ve 750 tl ye kiralık odalar,1,35m,600.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6569958,-,11-20,2. Kat,35m
2596,Hayır,,Soba,2.0,Mekan'dandokuma ant-koop siteleri mevki atatürk mah kiralık 2+1,2 + 1,65 m²,650.0,2019-02-02 00:00:00,Atatürk,1.0,Kepez,82003760,,15.0,Yüksek Giriş,75 m²
2597,Hayır,,Klima,4.0,ANTALYA MURATPAŞA ÇAYBAŞI MAH. 2+1 KİRALIK DAİRE ,2 + 1,95 m²,950.0,2019-02-02 00:00:00,Çaybaşı,1.0,Muratpaşa,10662956,,20.0,1,95 m²
2598,Hayır,,Klima,3.0,ANTALYA DURALİLER DE KİRALIK DAİRE 2 ODA 1 SALON 90 M2 ,2 + 1,90 m²,550.0,2019-02-02 00:00:00,Duraliler,1.0,Kepez,105962942,550 TL,5.0,Yüksek Giriş,100 m²
2599,Evet,Evet (Site Adı Belirtilmemiş),Klima,3.0,ALANYA AVSALLAR FUĞLA PLAJINDA DENİZ MANZARALI VİLLA,2 + 1,160 m²,3000.0,2019-02-02 00:00:00,Avsallar,2.0,Alanya,367511536,,10.0,2,160 m²
2600,Hayır,,Belirtilmemiş,2.0,GÜZELOBA MAHALLESİ 2+1 EŞYALI BAHÇE KATI KİRALIK DAİRE,2 + 1,Belirtilmemiş ,3500.0,2019-02-02 00:00:00,Güzeloba,1.0,Muratpaşa,179698365,,1.0,Bahçe Katı,85 m²
2601,Hayır,,Belirtilmemiş,4.0,KONYAALTI LİMAN MAHALLESİNDE DENİZE 100 MT.KİRALIK 3+1 DAİRE,3 + 1,150 m²,1650.0,2019-02-02 00:00:00,Liman,2.0,Konyaaltı,9216677,1.650 TL,12.0,3,165 m²
2602,Hayır,,Klima,9.0,Antalya Konyaaltı Uncalıda 3+1 kiralık daire Bozdağ emlaktan,3 + 1,145 m²,1200.0,2019-02-02 00:00:00,Uncalı,1.0,Konyaaltı,214261263,,17.0,3,148 m²
2603,Hayır,Bozdağ emlak,Klima,8.0,Antalya Konyaaltı Gürsu Kiralık 2+1 geniş daire,2 + 1,125 m²,1160.0,2019-02-02 00:00:00,Gürsu,1.0,Konyaaltı,214261245,1.200 TL,20.0,5,130 m²
2604,Hayır,,Klima,8.0,ALANYA MAHMUTLARDA 2+1 110 M2 KİRALIK DAİRE,2 + 1,110 m²,1000.0,2019-02-02 00:00:00,Mahmutlar,1.0,Alanya,66404787,,0.0,1,110 m²
2605,Hayır,Evet (Site Adı Belirtilmemiş),Klima,6.0,KEPEZ AYANOĞLU MAH. 3+1 KİRALIK DAİRE ,3 + 1,130 m²,750.0,2019-02-02 00:00:00,Ayanoğlu,1.0,Kepez,10662926,,8.0,1,140 m²
2606,Evet,,Klima,11.0,Güzelobada Deniz Manzaralı Lüks Eşyalı Kiralık Daire,2 + 1,120 m²,6000.0,2019-02-02 00:00:00,Güzeloba,1.0,Muratpaşa,241263356,,15.0,10,130 m²
2607,Hayır,Evet (Site Adı Belirtilmemiş),Klima,6.0,ANTALYA DURALİLER DE KİRALIK DAİRE YÜZME HAVUZLU GÜNISILI,2 + 1,115 m²,850.0,2019-02-02 00:00:00,Duraliler,2.0,Kepez,105962910,850 TL,5.0,6,125 m²
2608,Hayır,,Belirtilmemiş,2.0,2+1 DENİZE YAKIN KİRALIK DAİRE,2 + 1,85 m²,1200.0,2019-02-02 00:00:00,Kuşkavağı,1.0,Konyaaltı,50997304,,15.0,1,90 m²
2609,Hayır,KAPLANEMLAK,Klima,8.0,KONYAALTI ALTINKUMDA YUZME HAV GUV 165 M2 ARAKAT DAİRE,3 + 1,Belirtilmemiş ,1750.0,2019-02-02 00:00:00,Altınkum,2.0,Konyaaltı,455021394,1.750 TL,8.0,4,165 m²
2610,Evet,Bozdağ emlak,Klima,8.0,Eşyalı kiralık1+1 geniş ayrı mutfak Uncalı Konyaaltı Antalya,1 + 1,60 m²,1140.0,2019-02-02 00:00:00,Uncalı,1.0,Konyaaltı,214261248,,9.0,Yüksek Giriş,70 m²
2611,Hayır,Evet (Site Adı Belirtilmemiş),Klima,6.0,ALANYA CİKCİLLİDE LÜX SİTEDE AİDAT DAHİL 2+1 KİRALIK DAİRE,2 + 1,90 m²,1750.0,2019-02-02 00:00:00,Cikcilli,2.0,Alanya,94612453,,4.0,5,100 m²
2612,-,Hayır,-,1,Avsallarda 460 m2 içinde kiralık full yapılı taş villa,-,110m,2500.0,2019-02-02 00:00:00,Avsallar Mahallesi',-,Alanya,6359097,-,-,-,110m
2613,Hayır,Evet (Site Adı Belirtilmemiş),Klima,4.0,ALANYA KESTELDE DENİZE 200 MT SİTE İÇİ 3+1 DUBLEX KİRALIK DAİRE,3 + 1,135 m²,1250.0,2019-02-02 00:00:00,Kestel,1.0,Alanya,94612448,1.250 TL,4.0,4,140 m²
2614,Hayır,,Klima,3.0,ANTALYA KONYAALTI ULUÇ MAHALLESİNDE EŞYALI KİRALIK 1+1 DAİRE,1 + 1,65 m²,1350.0,2019-02-02 00:00:00,Uluç,1.0,Konyaaltı,81581250,,10.0,1,70 m²
2615,Hayır,Evet (Site Adı Belirtilmemiş),Klima,6.0,ALANYA CİKCİLLİ'DE 2+1 LÜX SİTEDE LÜX EŞYALI KİRALIK DAİRE,2 + 1,100 m²,2500.0,2019-02-02 00:00:00,Cikcilli,2.0,Alanya,94612425,2.500 TL,4.0,1,110 m²
2616,Hayır,,Klima,4.0,Kültür Mevkinde Kiralik 1+1esyali Daire ,1 + 1,40 m²,1000.0,2019-02-02 00:00:00,Kültür,1.0,Kepez,507513782,850 TL,5.0,3,45 m²
2617,-,Hayır,Klimalı,3,Huzur emlaktan sidede elektrik su kira dahil 750 tl oda,1,30m,750.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6468741,-,11-20,2. Kat,30m
2618,Hayır,,Kombi,2.0, ARAPSUYU'NDA D.GAZLI ANKASTRELİ DENİZE 300 M 2+1 BAHÇE DUBLEKS,2 + 1,80 m²,1500.0,2019-02-02 00:00:00,Arapsuyu,2.0,Konyaaltı,178843519,,0.0,Bahçe Katı,90 m²
2619,-,Hayır,Klimalı,3,Prestij den antalya ahatlı mah kiralık 1+1 full eşyalı daire,1+1,50m,1100.0,2019-02-02 00:00:00,Ahatlı Mahallesi',1,Kepez,6586167,-,2,Yüksek giriş,60m
2620,-,Hayır,-,6,Lıman mahesyalı kıralık daıre,-,70m,1400.0,2019-02-02 00:00:00,Liman Mahallesi',-,Konyaaltı,6669828,-,-,-,70m
2621,Hayır,,Klima,,KONYAALTI MOLAYUSUF DA KATTA 3+1 AYRI MUTFAK KİRALIK ,3 + 1,145 m²,1600.0,2019-02-02 00:00:00,Molla Yusuf,2.0,Konyaaltı,10032661,,5.0,,160 m²
2622,Hayır,,Güneş Enerjisi,,Kiralik 2+1 Temiz Daire,2 + 1,110 m²,700.0,2019-02-02 00:00:00,Kütükçü,1.0,Kepez,1095628,,2.0,1,120 m²
2623,-,Hayır,Klimalı,2,Huzur emlaktan side cennetlerde elek su dahil aylık kiralık oda,1,35m,750.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6676880,-,11-20,2. Kat,35m
2624,-,Hayır,Klimalı,2,Huzur emlaktan sidede elektrik su dahil aylık 750 tl ye oda,1,35m,750.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6676876,-,11-20,1. Kat,35m
2625,-,Hayır,-,4,Burak emlaktan iralık daire,-,75m,750.0,2019-02-02 00:00:00,Side Mahallesi',-,Manavgat,6424643,-,-,-,75m
2626,-,Hayır,Klimalı,5,Alanya da mahmutlar da eşyalı ayrı mutfak kiralık 2+1 daire,2+1,115m,1000.0,2019-02-02 00:00:00,Mahmutlar Mahallesi',1,Alanya,6428666,-,5-10,2. Kat,125m
2627,Hayır,,Klima,2.0,GÜZELOBA'da KİRALIK 2+1 EŞYALI BAHÇE KATI,2 + 1,Belirtilmemiş ,1450.0,2019-02-02 00:00:00,Güzeloba,1.0,Muratpaşa,179698644,,21.0,Giriş Katı,130 m²
2628,Hayır,,Kombi,9.0,KONYAALTI LİMAN'DA 2+1 DOĞALGAZLI BOŞ DAİRE ,2 + 1,100 m²,1500.0,2019-02-02 00:00:00,Liman,1.0,Konyaaltı,99578196,1.500 TL,7.0,8,110 m²
2629,-,Hayır,-,1,Emlak beydagından kıralık 2+1 eşyalı daire çamyuvada,-,85m,2000.0,2019-02-02 00:00:00,Çamyuva Mahallesi',-,Kemer,6267747,2000 TRY,-,-,85m
2630,Hayır,Evet (Site Adı Belirtilmemiş),Klima,9.0,ANTALYA KEPEZ GÜNEŞ MAH.2+1 KİRALIK SİTE İÇİNDE DAİRE ,2 + 1,115 m²,650.0,2019-02-02 00:00:00,Güneş,1.0,Kepez,10662975,,5.0,8,115 m²
2631,Evet,Evet (Site Adı Belirtilmemiş),Kombi,,3+1 Eşyalı Kiralık Daire,3 + 1,155 m²,2000.0,2019-02-02 00:00:00,Siteler,2.0,Konyaaltı,032745155,,7.0,Ara Kat,160 m²
2632,-,Hayır,-,12,Alanya da mahmutlarda  rezidans da eşyalı kiralık 1+1 daire,-,73m,3000.0,2019-02-02 00:00:00,Mahmutlar Mahallesi',-,Alanya,6461305,-,-,-,76m
2633,-,Hayır,-,5,Doğu garajında kiralık eşyalı daire,-,90m,1200.0,2019-02-02 00:00:00,Sinan Mahallesi',-,Muratpaşa,6463000,1200 TRY,-,-,90m
2634,-,Hayır,Klimalı,3,Huzur emlaktan side merkezi konumda 1+1 kiralık apart daire,1+1,70m,825.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6710880,-,11-20,2. Kat,70m
2635,Evet,,Klima,4.0,ANTALYA YEŞİLBAHÇE DE MOBİLYALI 1+1 DAİRE,1 + 1,70 m²,1200.0,2019-02-02 00:00:00,Yeşilbahçe,1.0,Muratpaşa,42264198,1.200 TL,25.0,Giriş Katı,75 m²
2636,Hayır,,Kombi,,YAPI BARKODTAN KİRALIK GÜNLÜK APART DAİRE ,2 + 1,Belirtilmemiş ,150.0,2019-02-02 00:00:00,Altınkum,1.0,Konyaaltı,93238221,,0.0,,75 m²
2637,Hayır,,Klima,,KONYAALTI EŞYALI HAVUZLU 2+1,2 + 1,85 m²,1500.0,2019-02-02 00:00:00,Hurma,1.0,Konyaaltı,030298421,,6.0,,90 m²
2638,-,Hayır,Klimalı,15,Necip yakıcı dan full özellikli site içerisinde ultra lüx daire,3+1,180m,3250.0,2019-02-02 00:00:00,Güzeloba Mahallesi',2,Muratpaşa,6703096,-,5-10,1. Kat,180m
2639,-,Hayır,-,3,Burak emlak tan kiralık daire,-,75m,750.0,2019-02-02 00:00:00,Side Mahallesi',-,Manavgat,6410959,-,-,-,75m
2640,-,Hayır,Güneş Enerjisi,2,Emlak beydagından kıralık 2+1 daire yuksek giris çamyuvada,2+1,75m,750.0,2019-02-02 00:00:00,Çamyuva Mahallesi',1,Kemer,6664366,750 TRY,11-20,Yüksek giriş,85m
2641,-,Hayır,-,3,Burak emlaktan kiralık daire,-,85m,1000.0,2019-02-02 00:00:00,Side Mahallesi',-,Manavgat,6407326,-,-,-,85m
2642,-,Hayır,-,3,Burak emlak tan kiralık daire,-,90m,1000.0,2019-02-02 00:00:00,Side Mahallesi',-,Manavgat,6327162,-,-,-,90m
2643,-,Hayır,Klimalı,3,Huzur emlaktan sidede mart ayına kadar kiralık eşyalı 1+1 daire,1+1,70m,950.0,2019-02-02 00:00:00,Side Mahallesi',1,Manavgat,6584526,-,5-10,2. Kat,70m
2644,Evet,,Kombi,12.0,KAPLAN'DAN ÖĞRETMENEVLERİNDE FULL EŞYALI 3+1 DENİZ MANZARALI ,3 + 1,Belirtilmemiş ,2000.0,2019-02-02 00:00:00,Öğretmenevleri,1.0,Konyaaltı,455021333,2.000 TL,10.0,10,160 m²
2645,-,Hayır,-,2,Emlak beydagından kıralık 1+1 eşyalı daireler,-,70m,1500.0,2019-02-02 00:00:00,Çamyuva Mahallesi',-,Kemer,6287140,1500 TRY,-,-,70m
2646,Evet,,Klima,3.0, LARA'DA MOBİLYALI 3+1 KİRALIK DAİRE,3 + 1,125 m²,2500.0,2019-02-02 00:00:00,Şirinyalı,1.0,Muratpaşa,106551718,2.500 TL,5.0,2,130 m²
2647,-,Hayır,-,2,Kadriye eşyalı kiralık 3+1 havuzlu bahçeli villa aidatsız site,-,150m,1300.0,2019-02-02 00:00:00,Kadriye Mahallesi',-,Serik,6600684,1300 TRY,-,-,150m
2648,-,Hayır,-,5,Konyaaltı sarısuda esyalı kıralık 2+1 arakatta daıre havuzlu,-,95m,1500.0,2019-02-02 00:00:00,Sarısu Mahallesi',-,Konyaaltı,6605212,1500 TRY,-,-,95m
2649,Hayır,Evet (Site Adı Belirtilmemiş),Belirtilmemiş,7.0,3+1 UNCALI MAH.SİTE İÇİ KİRALIK LÜX SIFIR DAİRE,3 + 1,150 m²,2500.0,2019-02-02 00:00:00,Uncalı,2.0,Konyaaltı,50997301,,0.0,Ara Kat,160 m²
2650,-,Hayır,-,5,Antalya etiler mevlana kavşağı 150m2 boyalı 800 tl,-,135m,800.0,2019-02-02 00:00:00,Etiler Mahallesi',-,Muratpaşa,6613011,800 TRY,-,-,150m
