,furnitured,residential site,heating_system,number_floors,Title,number_rooms,net_area,price,ad_date,district,number_bathroom,county,id,Deposit,building_age,floor_wthn_bldng,total_area
83,Evet,Hayır,Klima,4,ALANYA MERKEZ SUGÖZÜ MH. FUL EŞYALI 2+1 KİRALIK DAİRE,2+1,90.0,1500 TL,06 Şubat 2019,Alanya,2,Alanya,657236102,1.500,11-15 arası,4,100
84,Hayır,Hayır,Yok,4,Kiralık daire (aile yada bayan),2+1,120.0,1100 TL,06 Şubat 2019,Ahatlı,1,Kepez,657184287,1.100,21-25 arası,4,140
85,Hayır,Hayır,Soba,2,BAYSAL EMLAKTAN VARSAK AYANOĞLU MH 2+1 100 m2 Y GİRİŞ,2+1,100.0,500 TL,06 Şubat 2019,Varsak,1,Kepez,657228791,Belirtilmemiş,0,Yüksek Giriş,100
86,Evet,Hayır,Klima,4,ÖZULU EMLAKTAN ÇAGLAYANDA 2+1 EŞYALI KİRALIK DAİRE,2+1,100.0,1500 TL,06 Şubat 2019,Lara,1,Muratpasa,657229708,1.500,5-10 arası,4,110
87,Hayır,Hayır,Soba,3,Manavgat BEYAZ dan sıfır ayarında 3+1 asansörlü 750 tl,3+1,110.0,750 TL,06 Şubat 2019,Manavgat,1,Manavgat,657224696,Belirtilmemiş,3,3,140
88,Hayır,Hayır,Klima,4,KONYAALTI'NDA YÜZME HAVUZLU LÜKS EŞYALI 1+1,1+1,60.0,1500 TL,06 Şubat 2019,Merkez,1,Konyaaltı,657218244,1.500,3,1,75
89,Evet,Hayır,Güneş Enerjisi,4,DEVLET HASTANESİ CİVARI LÜX SİTE İÇİNDE KİRALIK EŞYALI 1+1 DAİRE,1+1,60.0,1690 TL,06 Şubat 2019,Beldeler,1,Alanya,657205290,1.690,2,2,70
90,Hayır,Hayır,Klima,3,RW RİFAT ASLAN 3+1DUBLEKS SİTE İCİNDE,3+1,150.0,1750 TL,06 Şubat 2019,Lara,2,Muratpasa,657213115,1.750,5-10 arası,2,165
91,Hayır,Hayır,Yok,4,ANTALYA KEPEZ GÜLVEREN MAHALLESİNDE 3+1 160m2 G-D-B CEPHELİ,3+1,160.0,900 TL,06 Şubat 2019,Duraliler,2,Kepez,657206271,Belirtilmemiş,5-10 arası,2,185
92,Evet,Evet,Klima,5,SELCUKLU KONAKLARI ALANYA MERKEZ ULTRA LUKS KİRALIK DAİRE,2+1,100.0,2680 TL,06 Şubat 2019,Alanya,2,Alanya,469035580,Belirtilmemiş,5-10 arası,2,110
93,Hayır,Hayır,Klima,5,IŞIKLAR SAMPİ KAVŞAĞI'NDA CADDE ÜZERİ 3+1 KİRALIK İŞYERİ & KONUT,3+1,134.0,2200 TL,06 Şubat 2019,Genclik,1,Muratpasa,643865863,2.500,21-25 arası,3,150
94,Hayır,Hayır,Yok,4,Varlık mah ulaşim açisindan heryere yakın,3+1,120.0,1100 TL,06 Şubat 2019,Bahcelievler,1,Muratpasa,657197684,1.100,21-25 arası,3,130
